"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","34740","SF:140663, LITHIA-Photos Not Showing in Max","0","Medium","V-MAX-PRODUCT","","Undecided","","Mobile Web Loader","","11/13/15 09:58 PM","007:MAX","Bill Rogalla","140663","","0","Bill Rogalla","0","0","11/13/15 10:00 PM","11/13/15 10:00 PM","","Closed (Fixed)"
"Internal Defect","34741","Double Discount report is not available in all the menus","0","Medium","Michelle Clay","","25.1","","AutoLoad","","11/13/15 09:59 PM","007:MAX","J. Travis Huber","","","0","Michelle Clay","0","0","11/16/15 09:36 PM","11/19/15 07:03 PM","","Closed (Verified)"
"Task","34742","Inventory Overview data - Create Stored procedure to get Inventory overview data","0","Medium","Advait Gupte","","26.0","","Data","","11/16/15 03:15 AM","007:MAX","Mukesh Khankari","","","0","Advait Gupte","0","0","01/21/16 04:08 PM","02/01/16 04:05 PM","","Closed (Verified)"
"Internal Defect","34743","Appraisal Redesign: Accordions are not behaving as per requirements","0","Medium","Inderjeet Singh","","25.1","","Engineering","","11/16/15 01:09 PM","007:MAX","Inderjeet Singh","","","0","Akshai Rathore","0","0","11/16/15 03:33 PM","11/20/15 11:09 AM","","Closed (Verified)"
"Internal Defect","34744","Appraisal Redesign: Matching Counts do not match with count in DCS Filter value","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/16/15 01:58 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 12:00 PM","12/02/15 09:25 AM","","Closed (Not Reproducible)"
"Internal Defect","34745","Appraisal Redesign: Load Facets request is not called on selecting a Facet","0","Medium","Advait Gupte","","25.1","","Pricing","","11/16/15 02:04 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/17/15 12:09 PM","11/19/15 11:34 AM","","Closed (Verified)"
"Internal Defect","34746","Appraisal Redesign: Values in year DCS shows 0 even though vehicles with the same value are included in Market Listing","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/16/15 02:07 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 10:14 AM","12/02/15 09:26 AM","","Closed (Verified)"
"Internal Defect","34747","Appraisal Redesign:  Percent of Market Value does not change when its 0.","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/16/15 02:15 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 10:10 AM","12/02/15 09:28 AM","","Closed (Verified)"
"Internal Defect","34748","Appraisal Redesign: Market Listing UI.","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/16/15 02:32 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 01:53 PM","12/02/15 09:32 AM","34854,","Closed (Verified)"
"Internal Defect","34749","Appraisal Redesign: Entering negative value in Appraisal Calculator does not change the color to red","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/16/15 02:51 PM","007:MAX","Advait Gupte","","","0","Advait Gupte","0","0","11/27/15 10:01 AM","12/02/15 09:33 AM","","Closed (Verified)"
"Internal Defect","34750","Appraisal Design > Retail Tab > Data for year 2015 vehicles is not getting displayed.","0","Medium","Inderjeet Singh","","25.1","","Engineering","","11/16/15 03:13 PM","007:MAX","Inderjeet Singh","","","0","Akshai Rathore","0","0","11/16/15 03:31 PM","11/20/15 11:15 AM","","Closed (Verified)"
"Internal Defect","34751","Appraisal Redesign > Books Tab  > Data for NAAA is not gettign displayed","0","Medium","Inderjeet Singh","","25.1","","Engineering","","11/16/15 03:18 PM","007:MAX","Inderjeet Singh","","","0","Akshai Rathore","0","0","11/16/15 03:31 PM","11/24/15 10:49 AM","","Closed (Verified)"
"Internal Defect","34752","Appraisal Redesign > Books & offer Tab > KBB only showing value for fair condition","0","Medium","Inderjeet Singh","","25.1","","Engineering","","11/16/15 03:22 PM","007:MAX","Inderjeet Singh","","","0","Akshai Rathore","0","0","11/16/15 03:32 PM","11/24/15 01:01 PM","","Closed (Verified)"
"Internal Defect","34753","Appraisal Redesign > Retail Performance tab> Polk Market Analysis : Complete data is not getting displayed","0","Medium","Inderjeet Singh","","25.1.1","","AutoLoad","","11/16/15 03:26 PM","007:MAX","Inderjeet Singh","","","0","Dhiresh Mehta","0","0","11/24/15 11:34 AM","11/25/15 10:59 AM","","Closed (Not Reproducible)"
"Bug","34757","SF:141164, Activated Profit MAX - Only 1 overall results showing for every vehicle","0","Medium","App Support","","Undecided","","Pricing","","11/16/15 05:40 PM","007:MAX","Bill Rogalla","141164","","0","Michelle Clay","0","0","11/18/15 05:23 PM","11/18/15 05:28 PM","","Closed (Fixed)"
"Internal Defect","34758","Profit Max does not load when there is a large number in Matching","0","Medium","Inna Tulika","MAX-Profit-mkI","25.2","","Max Ad","","11/16/15 05:42 PM","007:MAX","Inna Tulika","","","0","Inna Tulika","0","0","12/21/15 08:33 PM","12/23/15 02:48 PM","34833,","Closed (Verified)"
"Task","34759","Appraisal Redesign: Show saving message on saving the appraisal","0","Medium","Advait Gupte","","25.1","","Engineering","","11/16/15 07:06 PM","007:MAX","Akshai Rathore","","","0","Advait Gupte","0","0","11/17/15 05:29 PM","11/19/15 11:31 AM","","Closed (Verified)"
"Internal Defect","34760","MB Autoload:  Unable to autoload MB cars for a dealer that does not have batch autoload turned on","0","Medium","Christopher Norton","","25.1","","AutoLoad","","11/16/15 08:10 PM","007:MAX","Christopher Norton","","","0","Christopher Norton","0","0","11/17/15 07:55 PM","11/19/15 07:41 PM","","Closed (Not Reproducible)"
"Task","34761","Editing Text in the Customer Offer Center Fields and Appraisal Calculator Fields","0","Medium","Abhishek Kumar","","25.1.1","","Pricing","","11/16/15 08:35 PM","007:MAX","Michelle Clay","","","0","Mukesh Khankari","0","0","11/18/15 04:07 PM","12/03/15 12:37 PM","","Closed (Verified)"
"Internal Defect","34762","MB Autoload: CoPilot Autoload needs to be unrestricted Open Autoload","0","Medium","Christopher Norton","","25.1","","AutoLoad","","11/16/15 08:47 PM","007:MAX","Christopher Norton","","","0","Mukesh Khankari","0","0","11/17/15 01:31 PM","11/20/15 10:02 PM","","Closed (Fixed)"
"Internal Defect","34763","Profit Max: if inventory id is not in filter, then need to change filter","0","Medium","Shailesh Panchal","","25.2","","Pricing","","11/17/15 01:48 PM","007:MAX","Advait Gupte","","","0","Shailesh Panchal","0","0","12/16/15 10:32 AM","12/23/15 08:20 AM","","Closed (Verified)"
