"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Task","35756","Highlight within select boxes","0","Medium","V-MAX-Engineers","","First Look - MAX Digital","27.2","New Car","","02/16/16 05:54 PM","002:FLM","Michelle Clay","","","0","Michelle C Clay","0","0","05/23/16 02:51 PM","05/23/16 02:51 PM","","Closed (Won't Complete)"
"Task","35758","Price drop-down to Match mocks","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:58 PM","002:FLM","Michelle Clay","","","0","Abhishek Kumar","8","8","05/23/16 11:50 AM","05/23/16 11:50 AM","","Closed (Verified)"
"Task","35759","Apply Button UI/ Functionality","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 05:59 PM","002:FLM","Michelle Clay","","","0","Tim Muir","0","0","03/10/16 01:21 PM","05/23/16 01:23 PM","","Closed (Verified)"
"Task","35761","Column headers and sort arrows consistent and aligned","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:04 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","03/08/16 11:04 AM","05/23/16 02:45 PM","","Closed (Verified)"
"Task","35762","Create a highlight to show on the column of the price that the discount is being applied to","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:06 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","02/25/16 10:42 AM","05/23/16 10:55 AM","","Closed (Verified)"
"Task","35763","Unit Cost should be Invoice Cost","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:07 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","03/03/16 08:21 PM","05/23/16 02:55 PM","","Closed (Verified)"
"Task","35764","Text Font should match the entry text above","0","Medium","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:09 PM","002:FLM","Michelle Clay","","","0","Monisha Lakshamana","0","0","05/20/16 03:07 PM","05/20/16 03:07 PM","","Closed (Verified)"
"Task","35765","Check boxes should match spec","0","Low","V-MAX-PRODUCT","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:10 PM","002:FLM","Michelle Clay","","","0","Michelle C Clay","0","0","05/02/16 05:12 PM","05/02/16 05:12 PM","","Closed (Won't Complete)"
"Task","35766","X Positioning functionality on the Active Pricing Campaign Page","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:14 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","02/24/16 07:32 PM","05/23/16 02:56 PM","","Closed (Verified)"
"Task","35767","Search Field and drop-down height","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:16 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","03/09/16 07:37 PM","05/23/16 02:51 PM","","Closed (Verified)"
"Task","35768","Fix column headers","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:17 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","03/22/16 12:32 PM","05/23/16 02:49 PM","","Closed (Verified)"
"Task","35770","Remove Edit and Cancel Titles","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:20 PM","002:FLM","Michelle Clay","","","0","Shailesh Panchal","0","0","02/25/16 11:19 AM","05/20/16 11:15 AM","","Closed (Verified)"
"Task","35771","Update footer text to match header text","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:28 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","03/09/16 08:44 PM","05/23/16 02:54 PM","","Closed (Verified)"
"Task","35772","Make Cancel column be a button like edit column","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 06:29 PM","002:FLM","Michelle Clay","","","0","Abhishek Kumar","0","0","05/23/16 11:46 AM","05/23/16 11:46 AM","","Closed (Verified)"
"Internal Defect","35773","Pricing Campaigns:  Existing Campaigns have Dealer Discount and MSRP Discount, in new NCT we only display one","0","Ground Level","Christopher Norton","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 07:59 PM","002:FLM","Christopher Norton","","","0","J. Travis Huber","24","24","05/11/16 02:39 AM","05/23/16 02:58 PM","","Closed (Fixed)"
"Internal Defect","35774","Pricing Campaigns: View and Edit Table - Current Internet Price Sync Problem","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 08:08 PM","002:FLM","Tim Muir","","","0","Tim Muir","0","0","03/09/16 09:22 PM","05/23/16 01:20 PM","","Closed (Verified)"
"Project","35775","Pricing Campaign UI Functionality","0","Planning","V-MAX-PRODUCT","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 08:29 PM","002:FLM","Michelle Clay","","","0","Michelle C Clay","0","0","06/02/16 06:46 PM","06/02/16 06:46 PM","35150,35151,35577,35654,35659,35677,35679,35682,35687,35688,35691,35729,35731,35732,35733,35735,35736,35738,35739,35740,35779,35780,35812,35814,35815,35819,35879,35928,35935,35942,35996,","Closed (Completed)"
"Project","35776","Active Campaign UI Functionality","0","Planning","V-MAX-PRODUCT","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 08:45 PM","002:FLM","Michelle Clay","","","0","Michelle C Clay","0","0","06/02/16 06:46 PM","06/02/16 06:46 PM","35718,35719,35721,35722,35725,35786,35811,35820,35855,35860,35926,35932,35946,35995,36006,","Closed (Completed)"
"Internal Defect","35778","Pricing Campaign: Unable to create/edit a campaign","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 09:18 PM","002:FLM","Christopher Norton","","","0","Inna Tulika","0","0","02/24/16 07:26 PM","05/23/16 02:54 PM","","Closed (Verified)"
"Task","35779","UI on confirmation of Apply needs to be updated","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 09:21 PM","002:FLM","Michelle Clay","","","0","Inna Tulika","0","0","03/07/16 09:49 PM","05/23/16 02:48 PM","","Closed (Verified)"
"Task","35780","MAintain Scroll Position When Clicking ""View and Edit Link""","0","Medium","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/16/16 09:35 PM","002:FLM","Michelle Clay","","","0","Monisha Lakshamana","0","0","05/20/16 08:48 AM","05/20/16 08:48 AM","","Closed (Verified)"
"Internal Defect","35784","Pricing Campaign : New internet price calculation for invoice cost is not correct.","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 02:13 PM","002:FLM","Abhishek Kumar","","","0","Abhishek Kumar","0","0","05/23/16 10:06 AM","05/23/16 10:06 AM","","Closed (Verified)"
"Internal Defect","35785","Pricing Campaign : After apply the number of vehicles selected is not equal to number of vehicles selected displayed.","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 02:28 PM","002:FLM","Abhishek Kumar","","","0","Abhishek Kumar","0","0","05/23/16 02:48 PM","05/23/16 02:48 PM","","Closed (Verified)"
"Bug","35787","SF:153123, Profit MAX Pricing - Market Listings Data Not Accurate","0","Medium","App Support","","First Look - MAX Digital","Undecided","Digital Showroom","","02/17/16 03:06 PM","002:FLM","Bill Rogalla","153123","","0","Dan Webster","0","0","05/03/16 03:10 PM","05/03/16 03:10 PM","","Closed (Fixed)"
"Internal Defect","35788","New Car Overview: Exit store header is missing for 500 Automotive Group Dealer","0","Ground Level","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 03:09 PM","002:FLM","Abhishek Kumar","","","0","Sagar Awate","0","0","04/21/16 04:37 PM","04/28/16 09:40 PM","","Closed (Verified)"
"Bug","35790","SF:153294, LUTHER-Unable to Default to KBB Trade In Tile- Appraisal ","8","Medium","App Support","java","First Look - MAX Digital","27.2","FL Appraisal","","02/17/16 04:34 PM","002:FLM","Bill Rogalla","153294","","0","Shailesh Panchal","24","24","06/15/16 10:25 AM","07/05/16 03:22 PM","","Closed (Verified)"
"Internal Defect","35800","Inventory Summary: If Cancel is selected for the campaign, the price will not revert back the original Internet Price","0","Ground Level","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 08:56 PM","002:FLM","Monisha Lakshamana","","","0","Abhishek Kumar","7","7","05/23/16 02:52 PM","05/23/16 02:52 PM","","Closed (Verified)"
"Internal Defect","35801","Pricing Campaigns:  Vehicles Selected is not correct","0","Medium","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 09:05 PM","002:FLM","Christopher Norton","","","0","Monisha Lakshamana","0","0","05/23/16 02:43 PM","05/23/16 02:43 PM","","Closed (Verified)"
"Task","35802","New Car Invenotry Overview Page UI  broken on beta","0","Medium","Advait Gupte","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 09:58 PM","002:FLM","Mukesh Khankari","","","0","Advait Gupte","0","0","02/19/16 11:56 AM","05/20/16 09:49 AM","","Closed (Verified)"
"Internal Defect","35804","Pricing Campaigns: Incisent_Merchandising_InventoryDiscountCampaign Queue Growing Out of Control","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/17/16 11:20 PM","002:FLM","Tim Muir","","","0","Tim Muir","1","1","05/03/16 06:07 PM","05/23/16 01:21 PM","","Closed (Verified)"
"Internal Defect","35805","Pricing Campaigns: $ sign rendering shifts down when modal closed","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/18/16 10:47 AM","002:FLM","Advait Gupte","","","0","Tim Muir","0","0","02/29/16 08:46 PM","05/23/16 01:41 PM","","Closed (Verified)"
"Internal Defect","35807","Pricing Campaigns: Warning Message Contains Typo","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/18/16 03:50 PM","002:FLM","Tim Muir","","","0","Abhishek Kumar","0","0","05/23/16 02:51 PM","05/23/16 02:51 PM","","Closed (Verified)"
"Bug","35810","SF:153519, Package Summary MSRP Calculation Incorrect","0","Medium","App Support","","First Look - MAX Digital","Undecided","Digital Showroom","","02/18/16 05:50 PM","002:FLM","Bill Rogalla","153519","","0","Michelle C Clay","0","0","09/07/16 07:17 PM","09/07/16 07:25 PM","","Closed (Fixed)"
"Internal Defect","35811","Pricing Campaign: When searched for active campaigns the search is not applied correctly.","0","Medium","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/18/16 06:41 PM","002:FLM","Monisha Lakshamana","","","0","Monisha Lakshamana","0","0","05/20/16 12:00 PM","05/20/16 12:00 PM","","Closed (Verified)"
"Internal Defect","35812","Pricing Campaigns: Dealer Discount is always $0 in FireFox","0","Ground Level","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/18/16 07:14 PM","002:FLM","Christopher Norton","","","0","Shailesh Panchal","6","6","04/26/16 10:56 AM","05/20/16 10:49 AM","","Closed (Verified)"
